,Name,LastPrice
0,ITC,435.00
1,BHARTIARTL,"1,212.00"
2,WIPRO,513.80
3,APOLLOHOSP,"6,180.00"
4,SBILIFE,"1,524.00"
5,BRITANNIA,"4,892.60"
6,GRASIM,"2,194.00"
7,ADANIPORTS,"1,307.00"
8,LTIM,"5,231.75"
9,BPCL,628.00
10,HDFCBANK,"1,465.50"
11,LT,"3,634.90"
12,TCS,"4,205.00"
13,RELIANCE,"2,959.55"
14,CIPLA,"1,470.00"
15,HDFCLIFE,623.25
16,TITAN,"3,759.00"
17,TATAMOTORS,"1,019.00"
18,TATASTEEL,152.80
19,HCLTECH,"1,638.75"
20,NESTLEIND,"2,594.95"
21,ONGC,270.80
22,INDUSINDBK,"1,535.00"
23,ULTRACEMCO,"9,624.70"
24,ASIANPAINT,"2,878.60"
25,ADANIENT,"3,125.00"
26,HINDALCO,529.35
27,JSWSTEEL,818.40
28,BAJFINANCE,"6,439.25"
29,M&M,"1,896.00"
30,ICICIBANK,"1,077.15"
31,TATACONSUM,"1,215.50"
32,EICHERMOT,"3,811.55"
33,DRREDDY,"6,302.40"
34,MARUTI,"11,510.00"
35,UPL,474.05
36,BAJAJ-AUTO,"8,527.70"
37,DIVISLAB,"3,577.75"
38,TECHM,"1,292.30"
39,COALINDIA,449.30
40,KOTAKBANK,"1,720.35"
41,INFY,"1,612.90"
42,BAJAJFINSV,"1,592.30"
43,AXISBANK,"1,096.00"
44,HINDUNILVR,"2,375.00"
45,SBIN,758.65
46,SUNPHARMA,"1,581.20"
47,NTPC,343.85
48,HEROMOTOCO,"4,646.00"
49,POWERGRID,283.30
